@relation weather-ankara
@attribute att0 real [23.0, 100.0]
@attribute att1 real [-7.1, 65.5]
@attribute att2 real [-3.1, 57.6]
@attribute att3 real [0.0, 4.0]
@attribute att4 real [29.46, 30.6]
@attribute att5 real [26.3, 27.18]
@attribute att6 real [0.2, 11.5]
@attribute att7 real [0.0, 18.0]
@attribute att8 real [2.19, 57.4]
@attribute output real [7.9, 81.8]
@inputs att0, att1, att2, att3, att4, att5, att6, att7, att8
@outputs output
@data
34.2,26.1,19.6,0,30.07,26.72,7.2,7.71,12.7,29.1
84.2,53.6,48.2,0,29.77,26.66,8.6,9.55,13.8,73.8
64.4,31.6,45.8,0,29.95,26.82,8.3,7.14,11.3,54.3
70.5,50.4,48.1,0,29.94,26.8,8.6,4.83,13.8,59.3
59,32,35.1,0,29.95,26.75,8.6,5.41,12.7,49.1
70.9,55,51.4,0,29.83,26.71,7.9,3.34,11.3,59.4
37.8,31.5,32.2,0.2,29.86,26.59,5.2,8.06,14.9,34.3
76.3,46.4,39.2,0,30.04,26.91,8.8,9.09,13.8,62.4
39.2,24.8,19.8,0,29.97,26.71,8.9,8.17,13.8,30.9
86.4,59,54.4,0,29.66,26.63,8.6,8.52,13.8,73.1
84.2,46.8,48,0,29.93,26.77,8.4,4.03,12.7,67.6
47.5,37.6,40.3,0.2,29.92,26.7,5.7,3.57,8.06,43.6
79.5,46.8,44.9,0,29.8,26.72,8.1,2.19,6.9,66
80.6,53.2,47.8,0,29.86,26.78,8.8,6.9,12.7,68.9
78.1,44.6,38.3,0,29.99,26.83,8.4,3.11,14.9,61.4
61.5,36.7,38,0.05,29.83,26.62,8.2,7.71,19.4,49
82,56.8,50.1,0,29.83,26.76,8.9,8.86,13.8,70
64.4,29.8,32.1,0,30.11,26.88,8.4,2.65,12.7,48.1
47.3,18.3,22.3,0,30.3,26.94,3.6,0.23,3.34,29.8
72.7,59,55.7,0,29.78,26.7,8.3,4.83,14.9,63.8
47.5,37.4,36.6,0.2,29.58,26.38,8,5.29,13.8,41.5
55,28.2,39.5,0,29.77,26.58,8.9,12.7,24.1,47.9
51.4,25.5,31.4,0,30.03,26.75,6.8,2.42,12.7,36.9
50.7,20.5,26,0,30.01,26.76,8.4,3.68,12.7,38.2
37.4,18.7,20.6,0,30.3,26.93,7.7,3.68,9.21,27.4
93.7,62.2,48.4,0,29.68,26.67,8.6,7.48,11.3,78.7
73,51.8,48.2,0,29.85,26.73,8.6,4.72,10.2,62.7
87.8,49.6,46.1,0,29.96,26.88,8.2,3.34,13.8,69.9
41.7,23,22.3,0,30.25,26.96,8.6,5.98,12.7,32.5
52.5,32,35.9,0.8,29.62,26.42,5.8,2.99,10.2,40.4
84.6,54.5,46.1,0,29.83,26.72,8.7,6.44,13.8,71
82.4,51.1,49.2,0.2,29.85,26.78,8.6,4.37,16.1,65.9
81,55.8,47.8,0,29.78,26.71,8.5,6.79,11.3,68.6
87.1,54.6,46,0,29.77,26.71,8.6,6.9,13.8,70.1
59.7,31.8,39.1,0.1,29.94,26.76,8.7,5.06,10.2,50.9
40.3,25.2,27.2,0,30.4,27.1,4.1,2.19,6.9,33.4
58.6,25.2,29.1,0,30.25,26.96,4.8,1.04,5.87,40.2
75.6,49.5,49,0,30.06,26.95,7.8,11.1,17.2,63.3
28,21,16.7,0,30.35,27.03,7.7,4.49,12.7,24.3
89.6,51.8,47.1,0,29.7,26.66,8.7,3.22,10.2,72
81.1,48.2,42.7,0,29.84,26.75,8.2,8.06,18.3,64.8
78.1,52.2,50,0,29.95,26.84,8.7,3.34,13.8,64.4
37.4,21.9,23.2,0,30.3,26.99,5,0.92,3.34,27
91.4,55.8,49.9,0,29.87,26.75,8.5,5.29,13.8,75.6
27.3,11.5,13.7,0,30.5,27.05,4.5,2.88,5.87,18.6
81.7,50,48.7,0.05,29.81,26.74,8.7,9.32,20.8,67.1
78.1,43.5,43.3,0,29.89,26.77,8.8,5.06,11.3,63
42.8,33.1,35.7,0,29.92,26.65,5.9,6.44,10.2,39.1
43.2,31.1,31.4,0,30.25,26.94,5.3,2.53,10.2,37.1
57.2,45.3,40,0,29.56,26.4,8.4,5.41,16.1,50.1
88.2,56.7,46,0,29.95,26.82,8.2,7.6,12.7,72.2
62.2,26.8,31.1,0,30.11,26.85,8.4,1.84,6.9,43.6
38.3,16.5,16,0,30.06,26.71,7.6,4.95,13.8,26
95,57.2,39.5,0,29.87,26.76,8.3,6.79,12.7,75.9
78.8,48.2,46.2,0,29.96,26.85,8.6,1.61,6.9,64.1
45,33.8,34.9,0.4,29.93,26.7,8.2,6.44,18.3,39.2
95.7,59.2,51.4,0.05,29.6,26.6,8.6,7.48,21.8,76.6
78.1,50,48,0,29.87,26.77,9.2,3.91,23,61.4
83.3,52.7,50.2,0,29.73,26.67,8.5,5.41,12.7,67.8
83.7,46,45,0,29.94,26.8,8.5,6.1,14.9,67.9
72.7,49.3,52.6,0,29.77,26.67,8.4,3.34,14.9,60.4
55,19.4,24,0,30.48,27.12,7.7,0.23,4.72,33.7
46.4,34.5,37.1,0.6,29.7,26.47,6.9,4.26,9.21,41.6
61.7,21.2,25.1,0,30.29,26.97,8.3,1.61,5.87,39.6
33.8,12.2,11.6,0,30.33,26.97,8.6,9.21,17.2,25.3
48.9,32,30.2,0.1,30,26.75,8.4,4.37,8.06,40.5
36,30.9,29.6,0,29.91,26.61,5.3,6.67,11.3,33
59.9,31.3,47.2,0,29.96,26.78,6.7,2.53,9.21,52.2
87.8,55.8,48.6,0,29.74,26.69,9.1,3.45,10.2,72.9
89.2,59,45.1,0,29.98,26.71,7.5,3.68,9.21,73.3
63.7,33.4,31.4,0,30.09,26.89,9.1,1.73,11.3,46.4
68,34.5,31.2,0.05,29.98,26.77,8.6,5.87,14.9,52.2
54.3,29.3,36.3,0,30.01,26.75,4.4,0.92,6.9,41.2
51.1,39.2,37.7,0,29.92,26.72,8.6,6.79,19.4,46.7
59,39.2,38.5,0,30.05,26.87,8.9,4.03,11.3,48.8
59.7,33.8,35.8,0.2,29.69,26.52,8.4,11,25.3,50.6
34.2,22.3,19.5,0,30.25,26.89,8.1,5.06,11.3,27.2
63,25.3,20.8,0,30.15,26.89,8.3,4.26,14.9,43.5
39.4,32,31.9,0,30.06,26.74,0.6,1.73,8.06,35.9
49.1,23.5,28.5,0,30.33,26.98,2.5,0.58,8.06,32.6
47.5,28.4,30.3,0,30.08,26.8,8.9,4.72,9.21,37.4
64.8,32.7,46.6,0.1,29.86,26.72,8.2,3.34,9.21,55.8
45,30.2,33.5,0,30,26.72,6,1.38,5.87,37.5
56.1,35.4,33.8,0,30.06,26.84,8.8,6.1,11.3,47.2
